Date,Open,High,Low,Close,Volume
201708181041,10.94,10.94,10.92,10.93,84
201708181042,10.92,10.93,10.92,10.92,36
201708181043,10.92,10.93,10.92,10.92,92
201708181044,10.92,10.92,10.91,10.91,112
201708181045,10.91,10.92,10.91,10.92,124
201708181046,10.91,10.91,10.9,10.91,108
201708181047,10.9,10.91,10.89,10.89,268
201708181048,10.89,10.9,10.88,10.88,290
201708181049,10.88,10.88,10.86,10.86,206
201708181050,10.85,10.87,10.85,10.86,161
201708181051,10.85,10.87,10.85,10.86,126
201708181052,10.87,10.87,10.86,10.86,219
201708181053,10.87,10.88,10.87,10.88,30
201708181054,10.88,10.88,10.88,10.88,55
201708181055,10.87,10.89,10.87,10.89,151
201708181056,10.89,10.9,10.88,10.9,211
201708181057,10.9,10.9,10.89,10.9,92
201708181058,10.9,10.9,10.89,10.9,18
201708181059,10.9,10.9,10.9,10.9,1
201708181100,10.89,10.9,10.89,10.89,57
201708181101,10.9,10.9,10.9,10.9,2
201708181102,10.9,10.9,10.89,10.89,234
201708181103,10.88,10.89,10.88,10.89,273
201708181104,10.89,10.9,10.89,10.89,130
201708181105,10.89,10.9,10.89,10.9,57
201708181106,10.9,10.9,10.88,10.89,160
201708181107,10.89,10.89,10.89,10.89,112
201708181108,10.9,10.91,10.9,10.91,154
201708181109,10.91,10.91,10.9,10.91,45
201708181110,10.91,10.92,10.91,10.91,259
201708181111,10.91,10.91,10.9,10.91,292
201708181112,10.91,10.91,10.91,10.91,78
201708181113,10.9,10.91,10.9,10.91,46
201708181114,10.9,10.92,10.9,10.92,21
201708181115,10.91,10.92,10.91,10.91,29
201708181116,10.9,10.91,10.9,10.91,60
201708181117,10.91,10.91,10.9,10.91,20
201708181118,10.91,10.91,10.9,10.91,91
201708181119,10.9,10.91,10.9,10.91,8
201708181120,10.91,10.91,10.9,10.91,132
201708181121,10.91,10.91,10.9,10.9,65
201708181122,10.9,10.91,10.9,10.91,51
201708181123,10.9,10.9,10.9,10.9,104
201708181124,10.9,10.91,10.9,10.91,125
201708181125,10.9,10.91,10.9,10.91,23
201708181126,10.91,10.91,10.9,10.91,48
201708181127,10.9,10.91,10.9,10.91,51
201708181128,10.91,10.92,10.91,10.92,239
